Variable,6.9,7.1,7.2,7.6,7.7,7.8,7.9,8,8.1,8.2,8.3,8.4,8.5,8.6,8.7,8.8,8.9,9,9.1,9.2,9.3,9.4,9.5,9.6,9.7
Joey not,0,0,2,1,2,8,8,11,8,5,6,8,3,8,5,4,6,4,2,3,0,0,0,0,1
Joey main char,1,1,1,2,2,5,13,19,21,12,13,14,10,8,5,1,4,4,1,0,1,1,1,1,0
