Unique,episode_title ,episode_length,season,location_episodes,characters_episodes,male_characters,episode_awards,female_characters,ratings_episodes,rachel_mc,monica_mc,phoebe_mc,episode_runtime,joey_mc,chandler_mc,ross_mc,episode_type,location_episode,mem_relationship,cp_visit,guest_stars,episode_runtime
F009 22,The One with the Donor ,22,9,7,7,6,0,5,7.6,1,0,0,1,1,1,1,1,4,2,2,1,1
F009 23,The One in Barbados: Part 1,22,9,7,8,6,0,9,8.5,1,0,0,1,0,0,0,2,4,3,1,1,2
F009 24,The One in Barbados: Part 2,22,9,7,8,6,0,9,8.1,1,0,0,1,1,0,1,1,4,3,1,1,2
F010 1,The One After Joey and Rachel Kiss,22,10,7,7,6,0,6,8.4,1,0,0,1,1,1,1,1,1,1,1,0,1
F010 2 ,The One Where Ross Is Fine ,22,10,6,7,5,0,5,8.7,1,0,0,1,1,0,0,1,4,1,2,0,1
F010 3,The One with Ross's Tan ,22,10,7,8,6,0,5,8.6,0,0,0,1,0,0,1,1,1,1,6,0,1
F010 4,The One with the Cake ,22,10,7,8,5,0,6,8.2,0,0,0,1,1,1,1,1,1,0,0,0,1
F010 5 ,The One Where Rachel's Sister Babysits ,22,10,6,8,6,0,7,8,1,0,0,1,0,0,0,1,4,3,6,1,1
F010 6,The One with Ross's Grant,22,10,7,7,6,0,5,8,0,0,0,1,0,1,1,1,4,1,6,1,1
F010 7,The One with the Home Study ,22,10,7,8,5,0,6,8.1,1,0,0,1,1,1,1,1,4,3,6,0,1
F010 8,The One with the Late Thanksgiving ,22,10,6,8,6,0,6,8.8,0,0,0,1,0,1,1,1,4,0,0,0,1
F010 9,The One with the Birth Mother ,22,10,7,8,5,0,7,8.4,1,0,0,1,0,1,0,1,1,2,6,1,1
F010 10,The One Where Chandler Gets Caught ,22,10,7,8,6,0,6,7.8,0,0,0,1,1,1,0,1,4,3,6,0,1
F010 11,The One Where the Stripper Cries,22,10,6,8,5,0,5,8.9,0,0,0,1,0,0,1,1,4,2,0,1,1
F010 12,The One with Phoebe's Wedding,22,10,7,8,6,0,9,8.8,0,1,1,1,1,0,0,1,1,3,0,1,2
F010 13,The One Where Joey Speaks French ,22,10,7,8,6,0,4,8.3,0,0,0,1,1,1,1,1,1,0,0,0,1
F010 14,The One with Princess Consuela ,22,10,6,7,5,0,6,8.4,0,0,0,1,1,1,1,1,1,2,0,0,1
F010 15,The One Where Estelle Dies,22,10,7,8,6,0,5,8.4,0,0,0,1,0,0,1,1,1,1,6,0,1
F010 16,The One with Rachel's Going Away Party ,22,10,7,8,5,0,7,8.8,1,0,0,1,0,0,0,1,1,2,0,0,1
F010 17,The Last One: Part 1 ,22,10,6,8,6,0,10,9.6,1,1,1,1,1,1,1,2,1,1,2,0,2
F010 18 ,The Last One: Part 2 ,18,10,7,7,6,0,11,9.5,1,1,1,1,1,1,1,1,1,1,2,0,2
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,,,,,,,,
